SAMPLE,1189.48879-M/Z,1190.49607-M/Z,1296.68481-M/Z,1761.78747-M/Z,324.92669-M/Z,397.50357-M/Z,432.89982-M/Z,441.20236-M/Z,587.93404-M/Z,595.75169-M/Z,648.84607-M/Z,881.39739-M/Z
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0312_ug_ul,0.0,102951.42,203448.62,0.0,0.0,0.0,3801224.5,0.0,69329.34,877937.4,6595569.5,705210.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0625_ug_ul,0.0,216993.1,189339.48,54487.164,0.0,0.0,2651536.8,44165.09,91441.7,1368068.1,5124979.5,1116597.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p125_ug_ul,0.0,251815.75,205889.19,85130.2,0.0,0.0,3758498.2,0.0,205885.92,2252555.2,5068008.0,2102388.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p25_ug_ul,0.0,300709.9,140118.19,214489.72,0.0,0.0,3348494.2,0.0,246125.38,3837136.2,2564628.5,3333248.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p5_ug_ul,0.0,885712.75,181005.02,427421.06,0.0,0.0,14660280.0,36834.074,467346.84,5957719.0,4968823.5,5652007.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_1_ug_ul_rerun,93673.414,1517272.6,331210.2,270746.34,0.0,0.0,7792962.0,0.0,1314025.1,11135288.0,4870052.5,14759884.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0078_ug_ul,0.0,4210818.0,410227.72,937046.6,0.0,0.0,11549654.0,0.0,4013151.0,24712098.0,15245408.0,24486816.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0156_ug_ul,0.0,36997.098,69523.414,0.0,0.0,0.0,2734744.5,13120.1455,67197.05,541714.1,3166071.8,416785.16
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0312_ug_ul,21539.678,108199.375,156827.6,39309.06,0.0,0.0,3106359.8,16738.71,81618.38,1031269.8,5131259.0,684575.7
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,36034.652,192319.84,476352.22,53599.254,57147.234,0.0,9649905.0,0.0,110196.695,1558839.0,6348625.0,1027507.56
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p125_ug_ul,0.0,245009.53,155299.7,106010.36,0.0,0.0,3151544.0,0.0,231919.44,2517004.8,4410523.5,2285598.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p25_ug_ul,0.0,614999.9,207501.95,127555.67,0.0,0.0,2597187.2,32400.605,451750.97,4088171.2,3049759.2,3592566.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p5_ug_ul,270973.72,1860566.5,378339.8,389491.03,0.0,0.0,6613896.5,52375.94,425345.3,6013845.5,4029345.5,6848342.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_1_ug_ul,0.0,0.0,155069.36,0.0,0.0,0.0,5049986.5,34814.484,0.0,0.0,4164182.8,87633.945
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0078_ug_ul,0.0,0.0,0.0,22030.508,0.0,0.0,2620975.5,12917.478,0.0,0.0,2266281.5,18936.746
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0156_ug_ul,0.0,1109667.9,285722.28,77685.93,0.0,0.0,10107386.0,46030.336,688573.56,12133344.0,5916979.5,8929016.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0312_ug_ul,0.0,0.0,348959.62,0.0,95689.54,0.0,3924163.0,12746.085,0.0,0.0,3275548.8,21787.863
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0625_ug_ul,0.0,125026.03,146655.47,0.0,0.0,0.0,4443031.5,36794.715,138500.6,1649711.9,4576607.0,1788702.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p125_ug_ul,0.0,0.0,151456.84,0.0,0.0,0.0,5783668.0,0.0,0.0,48627.457,5929248.5,50854.26
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p25_ug_ul,0.0,0.0,112885.08,35534.613,16465.988,0.0,5187272.5,11195.288,0.0,0.0,4857102.5,44424.99
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p5_ug_ul,0.0,0.0,141201.53,0.0,16901.854,0.0,3447979.8,25633.527,0.0,0.0,5345337.5,69023.875
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_1_ug_ul,0.0,0.0,102820.06,0.0,0.0,0.0,3529527.0,41263.055,0.0,0.0,3330306.5,73378.125
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p0078_ug_ul,0.0,0.0,120172.055,0.0,0.0,0.0,4674203.5,0.0,0.0,0.0,3740653.5,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p0156_ug_ul,0.0,29759.162,68977.11,0.0,7020.4434,0.0,4242348.5,0.0,0.0,0.0,3298904.8,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p0312_ug_ul,0.0,0.0,811966.56,0.0,0.0,0.0,5936812.0,0.0,12792.649,0.0,3515601.0,19108.78
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p0625_ug_ul,21064.055,0.0,106091.71,0.0,0.0,0.0,5977610.0,9992.661,0.0,0.0,5215886.0,40736.27
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p125_ug_ul,0.0,0.0,78512.71,27252.158,12473.847,0.0,3953706.8,12974.982,0.0,0.0,4879612.5,22749.68
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p25_ug_ul,0.0,0.0,80648.37,0.0,0.0,0.0,3184278.5,19354.531,0.0,0.0,4916801.0,28810.576
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p5_ug_ul,0.0,0.0,108499.72,0.0,18361.855,0.0,14153875.0,38101.184,0.0,0.0,5389126.0,56426.184
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_1_ug_ul,0.0,0.0,94747.82,0.0,15625.421,0.0,2394021.2,53338.496,0.0,0.0,2574316.2,106172.836
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p0078_ug_ul,0.0,0.0,157616.78,0.0,0.0,0.0,3765973.8,497.4788,0.0,0.0,3952411.2,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p0156_ug_ul,0.0,0.0,1097377.2,0.0,0.0,0.0,11331454.0,12923.337,0.0,0.0,7379696.0,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p0312_ug_ul,0.0,0.0,40526.77,0.0,0.0,0.0,7196307.0,20997.674,0.0,0.0,1749541.1,45656.027
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p0625_ug_ul,0.0,0.0,912627.75,0.0,0.0,0.0,16631310.0,13451.814,0.0,0.0,4825993.5,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p125_ug_ul,0.0,0.0,52598.523,0.0,0.0,0.0,3615891.0,12224.998,0.0,0.0,3045258.5,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p25_ug_ul,0.0,0.0,183351.44,0.0,0.0,0.0,5949379.5,22158.043,0.0,0.0,5712525.0,39124.176
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_3_p5_ug_ul,0.0,0.0,118437.08,0.0,0.0,0.0,4357286.0,27149.383,0.0,0.0,4976660.5,50744.12
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_BLANK_1,0.0,32904.586,325349.12,0.0,0.0,0.0,7220895.0,654.493,0.0,0.0,5075615.5,50035.773
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_BLANK_2,0.0,0.0,88715.86,26146.914,478.11612,0.0,2397732.8,45113.016,0.0,0.0,2117791.2,37942.36
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_BLANK_3,0.0,0.0,250117.02,0.0,0.0,0.0,3218230.0,68041.08,0.0,0.0,3998277.8,200040.44
