SAMPLE,1189.48879-M/Z,1190.49607-M/Z,1296.68481-M/Z,1761.78747-M/Z,324.92669-M/Z,397.50357-M/Z,432.89982-M/Z,441.20236-M/Z,587.93404-M/Z,595.75169-M/Z,648.84607-M/Z,881.39739-M/Z
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p5_ug_ul,136157.81,209422.17,141495.6,608087.6,0.0,0.0,1173692.4,0.0,417580.0,43716.68,1311308.5,4158293.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_1_ug_ul,101302.6,146712.73,200790.02,582571.6,0.0,0.0,876893.5,495269.62,279344.22,2130592.0,945205.7,1463103.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0078_ug_ul,36451.55,17227.084,25445.701,57151.04,0.0,0.0,607964.5,130823.7,0.0,0.0,1040924.25,91847.01
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0156_ug_ul,58960.625,33846.875,64041.766,48568.67,0.0,0.0,444393.62,0.0,30584.502,131088.31,667952.6,62844.766
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0312_ug_ul,105319.055,116260.55,237844.38,95430.805,0.0,0.0,696577.8,268285.75,34026.195,199121.73,889956.5,231724.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0625_ug_ul,32078.723,90960.12,265670.25,24423.256,0.0,0.0,998573.1,358433.12,30183.703,443767.1,1688956.0,743961.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p125_ug_ul,56258.547,166473.7,410090.94,96334.43,0.0,0.0,3074336.2,191329.1,0.0,480175.47,1019186.1,550387.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p25_ug_ul,34280.742,166524.3,429048.88,99515.734,0.0,0.0,624893.75,392028.12,195724.33,1298131.5,983427.44,1065702.9
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p5_ug_ul,99508.97,72982.79,72727.07,88779.086,0.0,16762.523,1586858.9,0.0,185772.47,2397561.2,947536.3,1170856.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_1_ug_ul,147702.64,524413.5,170516.52,19118.918,0.0,18314.94,183217.75,114696.96,83930.48,853579.7,0.0,699234.25
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0078_ug_ul,79719.414,37758.715,579015.1,24489.916,0.0,7167.409,422146.75,137463.69,0.0,103334.555,574955.0,71443.46
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0156_ug_ul,137358.86,187571.16,88264.6,36812.785,0.0,0.0,861513.75,0.0,224224.6,810128.8,1223002.2,843922.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0312_ug_ul,63601.145,88158.445,187143.75,47241.23,0.0,11543.847,1262295.2,0.0,117506.4,526402.44,1423567.5,379708.88
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0625_ug_ul,464835.6,81573.125,66623.79,0.0,0.0,0.0,842259.2,0.0,93217.555,301767.44,1159634.1,283417.78
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p125_ug_ul,41929.74,134471.2,57203.61,179308.92,0.0,0.0,703655.4,0.0,101611.11,693364.2,1037875.25,522730.97
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p25_ug_ul,117744.92,103333.94,75103.484,100913.414,0.0,0.0,656103.25,0.0,0.0,979060.1,677301.9,951957.1
